证券代码,code,综合能力,盈利能力,偿债能力,成长能力,资产经营,市场表现,投资收益,综合能力,盈利能力,偿债能力,成长能力,资产经营,市场表现,投资收益
600056.SH,600056,4.5,5,2.5,2.5,4,4.5,3.5,★★★★☆,★★★★★,★★☆,★★☆,★★★★,★★★★☆,★★★☆
600062.SH,600062,4.5,4.5,4.5,1,3,4,0.5,★★★★☆,★★★★☆,★★★★☆,★,★★★,★★★★,☆
600079.SH,600079,3.5,4.5,2,2,1.5,4.5,3,★★★☆,★★★★☆,★★,★★,★☆,★★★★☆,★★★
600080.SH,600080,2,0.5,3.5,1,2.5,2,0.5,★★,☆,★★★☆,★,★★☆,★★,☆
600085.SH,600085,3.5,3,3.5,1.5,2.5,3.5,2.5,★★★☆,★★★,★★★☆,★☆,★★☆,★★★☆,★★☆
600090.SH,600090,4,3,4,1,4,4.5,0.5,★★★★,★★★,★★★★,★,★★★★,★★★★☆,☆
600129.SH,600129,2.5,4,1,4.5,3.5,3.5,3.5,★★☆,★★★★,★,★★★★☆,★★★☆,★★★☆,★★★☆
600161.SH,600161,3.5,1.5,4.5,0.5,3,1,2,★★★☆,★☆,★★★★☆,☆,★★★,★,★★
600195.SH,600195,3.5,3,3.5,1.5,2.5,3.5,2,★★★☆,★★★,★★★☆,★☆,★★☆,★★★☆,★★
600196.SH,600196,4,4.5,3,1.5,1.5,4.5,3,★★★★,★★★★☆,★★★,★☆,★☆,★★★★☆,★★★
600201.SH,600201,4,1.5,5,0.5,0.5,0.5,2.5,★★★★,★☆,★★★★★,☆,☆,☆,★★☆
600211.SH,600211,4.5,3,5,0.5,2,4.5,1,★★★★☆,★★★,★★★★★,☆,★★,★★★★☆,★
600216.SH,600216,4,3,4,1.5,2.5,4,0.5,★★★★,★★★,★★★★,★☆,★★☆,★★★★,☆
600222.SH,600222,2,1,2,4.5,1.5,1.5,2,★★,★,★★,★★★★☆,★☆,★☆,★★
600227.SH,600227,1,1.5,2,2,1.5,0.5,1,★,★☆,★★,★★,★☆,☆,★
600252.SH,600252,1.5,1,3.5,1,2.5,0.5,1,★☆,★,★★★☆,★,★★☆,☆,★
600267.SH,600267,3,3,1,5,1.5,3.5,3.5,★★★,★★★,★,★★★★★,★☆,★★★☆,★★★☆
600272.SH,600272,1.5,2.5,1.5,3,3.5,1.5,2,★☆,★★☆,★☆,★★★,★★★☆,★☆,★★
600276.SH,600276,3.5,2,4.5,1,3.5,2,2,★★★☆,★★,★★★★☆,★,★★★☆,★★,★★
600285.SH,600285,2.5,3,3,1.5,2.5,1.5,1.5,★★☆,★★★,★★★,★☆,★★☆,★☆,★☆
600299.SH,600299,3,1.5,4,1,3,3,2,★★★,★☆,★★★★,★,★★★,★★★,★★
600329.SH,600329,3.5,3.5,3.5,1.5,3,3.5,1,★★★☆,★★★☆,★★★☆,★☆,★★★,★★★☆,★
600332.SH,600332,5,5,4.5,2,3,5,3.5,★★★★★,★★★★★,★★★★☆,★★,★★★,★★★★★,★★★☆
600351.SH,600351,2,2.5,2.5,2,2.5,1.5,1,★★,★★☆,★★☆,★★,★★☆,★☆,★
600380.SH,600380,2.5,2.5,3,1.5,2,3,3.5,★★☆,★★☆,★★★,★☆,★★,★★★,★★★☆
600420.SH,600420,3.5,4,2,2,2.5,3.5,2.5,★★★☆,★★★★,★★,★★,★★☆,★★★☆,★★☆
600422.SH,600422,2.5,3.5,2,2,3.5,3,1.5,★★☆,★★★☆,★★,★★,★★★☆,★★★,★☆
600479.SH,600479,2.5,2.5,2.5,1.5,3,2.5,1.5,★★☆,★★☆,★★☆,★☆,★★★,★★☆,★☆
600488.SH,600488,1.5,1.5,2,2,2,1.5,1,★☆,★☆,★★,★★,★★,★☆,★
600511.SH,600511,5,5,3.5,1.5,4.5,5,2,★★★★★,★★★★★,★★★☆,★☆,★★★★☆,★★★★★,★★
600513.SH,600513,2,1.5,3.5,1.5,3.5,1.5,1,★★,★☆,★★★☆,★☆,★★★☆,★☆,★
600518.SH,600518,3.5,4,3,1.5,1.5,3.5,4,★★★☆,★★★★,★★★,★☆,★☆,★★★☆,★★★★
600521.SH,600521,2,3,2,2.5,2,2,2,★★,★★★,★★,★★☆,★★,★★,★★
600530.SH,600530,1,1.5,3,1,0.5,0.5,0.5,★,★☆,★★★,★,☆,☆,☆
600535.SH,600535,4,4.5,3,1.5,2.5,4,3,★★★★,★★★★☆,★★★,★☆,★★☆,★★★★,★★★
600538.SH,600538,0.5,0.5,3,1,2.5,1,1.5,☆,☆,★★★,★,★★☆,★,★☆
600557.SH,600557,3.5,3.5,3.5,1,2,3.5,1,★★★☆,★★★☆,★★★☆,★,★★,★★★☆,★
600566.SH,600566,5,5,5,0.5,4,4.5,1,★★★★★,★★★★★,★★★★★,☆,★★★★,★★★★☆,★
600572.SH,600572,2.5,3,2,2,3,0.5,2,★★☆,★★★,★★,★★,★★★,☆,★★
600587.SH,600587,4.5,4.5,2,5,2,4.5,3.5,★★★★☆,★★★★☆,★★,★★★★★,★★,★★★★☆,★★★☆
600594.SH,600594,2,3,2.5,1.5,2,3.5,1.5,★★,★★★,★★☆,★☆,★★,★★★☆,★☆
600613.SH,600613,1.5,1,3,1,2,2,0.5,★☆,★,★★★,★,★★,★★,☆
600624.SH,600624,1,2,1,3.5,1.5,1,3,★,★★,★,★★★☆,★☆,★,★★★
600645.SH,600645,5,1.5,5,5,0.5,0.5,0.5,★★★★★,★☆,★★★★★,★★★★★,☆,☆,☆
600664.SH,600664,1.5,2,1.5,2,3,1.5,2,★☆,★★,★☆,★★,★★★,★☆,★★
600671.SH,600671,3.5,4.5,1.5,4.5,4.5,0.5,3.5,★★★☆,★★★★☆,★☆,★★★★☆,★★★★☆,☆,★★★☆
600713.SH,600713,2.5,4,0.5,4.5,4.5,3.5,3.5,★★☆,★★★★,☆,★★★★☆,★★★★☆,★★★☆,★★★☆
600721.SH,600721,0.5,1,3,1,1,0.5,0.5,☆,★,★★★,★,★,☆,☆
600750.SH,600750,4.5,1,5,0.5,3.5,4,2,★★★★☆,★,★★★★★,☆,★★★☆,★★★★,★★
